week,political,economic,social,technological,environmental,legal
2025-03-17,0.16,0.23,0.28,0.23,0.21,0.18
2025-03-24,0.16,0.23,0.23,0.19,0.16,0.17
2025-05-27,0.18,0.29,0.26,0.22,0.19,0.19
2025-06-03,0.18,0.29,0.25,0.22,0.19,0.19
2025-06-10,0.18,0.29,0.26,0.22,0.19,0.19
2025-06-17,0.19,0.3,0.27,0.23,0.2,0.2
2025-06-24,0.18,0.29,0.26,0.22,0.19,0.19
2025-09-23,0.45,0.54,0.33,0.53,0.4,0.25
2025-09-29,0.5,0.53,0.34,0.51,0.42,0.31
2025-10-05,0.52,0.53,0.39,0.53,0.43,0.29
2025-10-12,0.52,0.53,0.4,0.53,0.45,0.31
2025-10-26,0.5,0.49,0.34,0.47,0.42,0.3
2025-11-02,0.5,0.48,0.36,0.48,0.43,0.28
2025-11-09,0.52,0.48,0.35,0.49,0.41,0.32
2025-11-16,0.54,0.49,0.34,0.5,0.45,0.33
2025-11-23,0.86,0.86,0.78,0.86,0.7,0.72
2025-11-30,0.68,0.65,0.63,0.75,0.56,0.28
2025-12-07,0.78,0.83,0.78,0.82,0.74,0.62
2025-12-14,0.88,0.89,0.82,0.89,0.84,0.57
2025-12-21,0.84,0.78,0.68,0.81,0.76,0.56
2025-12-28,0.78,0.78,0.75,0.8,0.77,0.56
2026-01-04,0.81,0.68,0.65,0.73,0.78,0.36
2026-01-11,0.87,0.8,0.74,0.8,0.79,0.63
2026-01-18,0.84,0.77,0.74,0.75,0.72,0.56
2026-01-25,0.79,0.74,0.76,0.77,0.69,0.58
2026-02-01,0.73,0.73,0.65,0.72,0.68,0.34
2026-02-08,0.87,0.8,0.75,0.82,0.82,0.42
2026-02-16,0.9,0.9,0.89,0.9,0.89,0.88
2026-02-22,0.87,0.91,0.91,0.91,0.88,0.86
2026-03-01,0.92,0.92,0.89,0.92,0.92,0.87
2026-03-08,0.8,0.89,0.89,0.9,0.8,0.82
2026-03-15,0.91,0.92,0.89,0.92,0.89,0.88
2026-03-22,0.8,0.84,0.82,0.8,0.75,0.82
2026-03-29,0.83,0.78,0.75,0.84,0.74,0.78
2026-04-05,0.85,0.92,0.89,0.92,0.89,0.9
2026-04-12,0.89,0.91,0.83,0.91,0.84,0.78
2026-04-26,0.91,0.92,0.9,0.93,0.92,0.89
2026-05-03,0.78,0.76,0.71,0.75,0.75,0.69
2026-05-10,0.82,0.84,0.78,0.81,0.83,0.8
2026-05-17,0.71,0.73,0.64,0.69,0.69,0.72
2026-05-24,0.78,0.81,0.78,0.81,0.8,0.85
2026-05-31,0.82,0.84,0.79,0.84,0.84,0.75
