seed,shots,iterations,hardwareJobSubmitted,jobId,circuitDepth,transpiledDepth,stable,aligned_up,aligned_down,uncertain,receiptPath
41,64,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_94c9532c422ce08e.json
41,128,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_94c9532c422ce08e.json
42,64,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_660a54b86534f27a.json
42,128,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_660a54b86534f27a.json
43,64,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_14cbd6ba798fffda.json
43,128,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_14cbd6ba798fffda.json
44,64,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_a147735a5b560024.json
44,128,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_a147735a5b560024.json
45,64,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_24d13e829a6e10cd.json
45,128,60,False,,15,0,0.0,0.0,0.0,0.0,/mnt/c/Users/teres/PycharmProjects/q-oracle-scenario-sim/quantum_hardware/receipts/iqm_qml_24d13e829a6e10cd.json
