seed,shots,latentDim,iterations,hardwareJobSubmitted,jobId,qubits,circuitDepth,transpiledDepth,stable,event_aligned,event_divergent,uncertain,receiptPath
41,512,8,120,True,019e9e3d-f6a2-7de0-aedc-17ae7cc78a75,8,23,51,0.330078125,0.2578125,0.212890625,0.19921875,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed41_shots512_q8_20260606T184155Z.json
41,1024,8,120,True,019e9e3e-8d88-7442-b449-c4f2fe6b066c,8,23,51,0.3203125,0.298828125,0.1904296875,0.1904296875,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed41_shots1024_q8_20260606T184234Z.json
42,512,8,120,True,019e9e3f-51a5-73f2-8a19-b0bf682ab8af,8,23,51,0.3125,0.33203125,0.185546875,0.169921875,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed42_shots512_q8_20260606T184325Z.json
42,1024,8,120,True,019e9e3f-e727-76f0-b38d-5cd9940c4253,8,23,51,0.345703125,0.3193359375,0.1630859375,0.171875,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed42_shots1024_q8_20260606T184403Z.json
43,512,8,120,True,019e9e40-ae01-79d0-8b31-3f881224a87c,8,23,51,0.322265625,0.283203125,0.19140625,0.203125,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed43_shots512_q8_20260606T184454Z.json
43,1024,8,120,True,019e9e41-4bb9-7ee3-9dba-93d0746268b1,8,23,51,0.3056640625,0.26953125,0.205078125,0.2197265625,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed43_shots1024_q8_20260606T184534Z.json
41,512,10,120,True,019e9e42-154f-7b93-aa08-be0ff4f7b192,10,27,63,0.263671875,0.275390625,0.232421875,0.228515625,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed41_shots512_q10_20260606T184625Z.json
41,1024,10,120,True,019e9e42-b2ad-7ef3-a595-b214929320c6,10,27,63,0.3095703125,0.279296875,0.20703125,0.2041015625,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed41_shots1024_q10_20260606T184704Z.json
42,512,10,120,True,019e9e43-75d7-7f72-8dbd-c209265181ad,10,27,63,0.2890625,0.263671875,0.224609375,0.22265625,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed42_shots512_q10_20260606T184755Z.json
42,1024,10,120,True,019e9e44-0c47-75e0-81e3-932b1c333205,10,27,63,0.3115234375,0.287109375,0.2001953125,0.201171875,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed42_shots1024_q10_20260606T184833Z.json
43,512,10,120,True,019e9e44-d7b1-7d92-b4cb-0581aa5fe552,10,27,63,0.294921875,0.283203125,0.216796875,0.205078125,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed43_shots512_q10_20260606T184925Z.json
43,1024,10,120,True,019e9e45-6dd8-7761-9e45-addd9ae242c0,10,27,63,0.2919921875,0.26953125,0.2265625,0.2119140625,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed43_shots1024_q10_20260606T185004Z.json
41,512,12,120,True,019e9e46-48da-7b53-af28-59e52921c943,12,31,75,0.32421875,0.302734375,0.197265625,0.17578125,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed41_shots512_q12_20260606T185056Z.json
41,1024,12,120,True,019e9e47-2c20-7db0-b982-a811877fad99,12,31,75,0.3583984375,0.2568359375,0.201171875,0.18359375,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed41_shots1024_q12_20260606T185155Z.json
42,512,12,120,True,019e9e48-1151-79d0-a49a-58b51184ff40,12,31,75,0.306640625,0.3359375,0.171875,0.185546875,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed42_shots512_q12_20260606T185254Z.json
42,1024,12,120,True,019e9e48-ff24-7ab2-96cc-f2ea2efc9b72,12,31,75,0.35546875,0.30859375,0.1669921875,0.1689453125,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed42_shots1024_q12_20260606T185355Z.json
43,512,12,120,True,019e9e49-e86f-71c0-9661-c840185e3a04,12,31,75,0.27734375,0.35546875,0.173828125,0.193359375,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed43_shots512_q12_20260606T185455Z.json
43,1024,12,120,True,019e9e4a-d5f2-7903-8827-e7134dc0155b,12,31,75,0.3427734375,0.322265625,0.169921875,0.1650390625,quantum_hardware/receipts/iqm_semantic_qml_batch_hardware_seed43_shots1024_q12_20260606T185555Z.json
